gene	neglog10p
CFAP20DC	6.0
CYP4Z1	6.0
BRINP1	6.0
BORCS7	6.0
ASMT	6.0
CICP26	6.0
TECPR1	6.0
COL5A2	6.0
TMC5	5.698970004336019
164P	5.698970004336019
TMEM72	5.698970004336019
SIRLNT	5.698970004336019
LACTB	5.698970004336019
GUCY1A1	5.698970004336019
STAP1	5.698970004336019
MTND1P22	5.698970004336019
LINC02866	5.698970004336019
CACNA2D3	5.698970004336019
RPL9P21	5.698970004336019
WFDC11	5.698970004336019
ROPN1L	5.698970004336019
WFDC10B	5.698970004336019
TPM1	5.698970004336019
GABRG2	5.698970004336019
NTRK1	5.522878745280337
UNC13B	5.522878745280337
NKAIN2	5.522878745280337
LINC02331	5.522878745280337
LRRC25	5.522878745280337
SSBP4	5.522878745280337
GFPT2	5.522878745280337
RNF217	5.522878745280337
ANO5	5.522878745280337
525P	5.522878745280337
DDHD1	5.522878745280337
FANCF	5.3979400086720375
CLRN3	5.3979400086720375
CHL1	5.3979400086720375
AS	5.3979400086720375
GBA2	5.3979400086720375
RERE	5.3979400086720375
PTPRM	5.3979400086720375
PTCHD1	5.3979400086720375
WSCD2	5.3979400086720375
ASCL4	5.3979400086720375
AMZ1	5.3979400086720375
LINC01495	5.3979400086720375
LRRC30	5.3979400086720375
GNA12	5.3979400086720375
PRDM15	5.301029995663981
ODAPH	5.301029995663981
161P	5.301029995663981
TASP1	5.301029995663981
LMNB1	5.301029995663981
ISM1	5.301029995663981
TPI1P1	5.301029995663981
MARCHF3	5.301029995663981
ZDHHC2	5.221848749616356
RN7SL869P	5.154901959985743
RN7SL35P	5.154901959985743
ALK	5.154901959985743
MPHOSPH6	5.154901959985743
LTK	5.154901959985743
SEMA5A	5.096910013008056
SP1	5.096910013008056
LINC01500	5.045757490560675
CTC1	5.045757490560675
