gene	log2fc	pval
POU5F2	3.0	0.0094016
RUNX1T1	3.03	0.0094245
ZNF416	2.5	0.009436
ARMC5	2.63	0.0094401
ARHGAP22	-3.89	0.0094553
AGRP	3.9	0.0094835
C1RL	-2.19	0.0094836
ELMO3	2.69	0.0095567
MAGEA4	-2.43	0.0095796
KLHL6	-2.29	0.0095978
FRZB	-2.16	0.0096196
LOC146513	2.17	0.0096294
LOC389906	2.48	0.0096817
CDK15	-2.11	0.0097213
KIF20A	-3.46	0.0097959
PDXK	-2.63	0.0098453
ANGPTL1	-2.71	0.0098746
HOXB5	2.28	0.0099069
ATP8A1	2.06	0.0099388
C17ORF105	-2.6	0.0099442
EFNA2	2.25	0.0099592
LINC01432	2.83	0.0099745
LINC00460	2.69	0.0100153
AIM1L	2.47	0.0100163
MIRLET7D	2.27	0.010018
LINC01428	3.26	0.0100395
TRIM3	2.68	0.0101118
MYL9	-2.57	0.0101348
MUSK	3.71	0.010135
APLF	2.96	0.0101369
GFI1B	2.48	0.0101735
FXYD2	2.56	0.0101804
MAGEE2	2.39	0.0101868
ZNF93	2.6	0.0101936
PKN3	2.67	0.0102183
ZAR1	2.2	0.0102335
LOC401442	2.64	0.0102878
AK8	-2.18	0.010303
ITGB2-AS1	-2.43	0.0103112
LARP1B	2.4	0.0103178
TMPRSS13	2.38	0.0103246
ABLIM2	2.56	0.0103319
SLC22A9	3.21	0.0103367
PRKAR2A	2.16	0.0103766
LINC00598	2.29	0.0104038
CARMIL2	-2.97	0.0104216
PIK3AP1	3.4	0.010425
PCDH15	-3.21	0.0104422
LOC286154	2.91	0.0104502
HIPK3	2.87	0.0104533
SLC10A2	2.03	0.0104973
CASC11	-2.61	0.0105451
PSMD6	2.66	0.0105714
PRR26	2.28	0.0105854
LOC101929268	2.36	0.0105861
ST8SIA3	3.24	0.0105988
LOC692247	3.06	0.0106113
GHRHR	2.34	0.0106166
CCDC71L	-2.34	0.010656
RNLS	2.33	0.0106632
LINC00691	3.91	0.0106649
PKD2L2	-3.32	0.0106743
APOL4	-2.63	0.0106932
SCEL	2.23	0.0107123
IFT43	2.99	0.0107505
TNFSF10	-2.18	0.0107621
TMEM200A	2.44	0.0107753
LOC100130815	-3.62	0.0107933
HS6ST1	2.07	0.0108061
AGTR2	3.34	0.0108255
CACNG5	2.03	0.0108461
SFXN4	2.59	0.0108556
YBX1	3.54	0.0108873
AMACR	2.37	0.0109053
YWHAH	2.23	0.0109127
LOC100507534	2.96	0.0109242
MIRLET7DHG	-2.62	0.010948
NLGN4Y	3.15	0.0109488
NLRP2B	-3.0	0.0109503
TNFRSF13C	2.74	0.0109652
STRBP	3.54	0.0110145
CPB2	2.46	0.0110504
TRPV2	2.17	0.0110637
PWP2	3.25	0.0110737
RRAD	3.64	0.0110814
KLC3	2.16	0.0111112
KRTAP4-3	4.24	0.0111263
MAGEB6	-3.87	0.0111794
ARHGAP6	-2.58	0.0111809
TLL2	2.72	0.0111966
LOC101927043	3.11	0.0111984
LOC284080	2.33	0.011203
ACSM2B	3.02	0.0112243
ELF5	3.07	0.0112244
RAB5A	2.73	0.0112614
CDH13	2.95	0.0112688
LOC105376379	-2.13	0.0112945
GBP6	-2.88	0.0113007
CXCL12	-2.33	0.0113311
LINC01015	-1.99	0.0113434
SOX3	3.19	0.0113485
CHRNA6	2.06	0.0113735
LOC100996624	2.92	0.0113808
NFYA	2.21	0.0113982
CCDC110	2.56	0.0114808
CD53	2.88	0.0115187
ZDHHC11	2.65	0.0115325
ZNF639	3.4	0.0115404
EDA	2.88	0.0115775
DLG1	-2.32	0.0115877
REPS2	-2.14	0.0115972
FAM155B	2.33	0.011628
ORMDL3	-2.54	0.0116422
TEX13A	2.38	0.0116661
WDR86	-2.77	0.0116951
SFTPB	2.86	0.0117396
CACUL1	-3.16	0.0117589
CELSR1	2.46	0.0117818
LINC00276	-3.43	0.0117836
NDUFS1	-2.12	0.0118223
OVOL2	4.29	0.0118269
BUB3	-2.19	0.0118289
SMAD4	-3.94	0.0118887
RRN3P1	3.44	0.011899
GJA5	-3.09	0.0119389
CCDC13-AS1	-2.3	0.0119513
LSAMP-AS1	2.3	0.0119677
LOC286177	3.11	0.011985
PRLR	2.45	0.0120005
FGF18	-2.62	0.0120033
LOC100129449	-2.38	0.0120145
PLCZ1	-3.06	0.0120158
TINCR	2.54	0.0120347
TBKBP1	2.04	0.0120604
LYG1	2.71	0.0120804
PPARGC1A	3.85	0.0121531
VDAC1	2.03	0.0121553
PPP1R3A	-3.17	0.0121929
DGKK	-2.44	0.0121991
PCDHB13	2.99	0.0122088
PARVG	-2.88	0.0122269
CDCA7	2.07	0.0123117
FOXJ1	3.31	0.0123212
LOC284669	2.7	0.0123415
AP1S1	2.26	0.0123498
SCNN1B	3.76	0.012352
S100Z	-4.15	0.0123713
RBBP8NL	-2.39	0.0123784
CRYBA2	-2.46	0.0123805
PNOC	2.76	0.0123811
LOC100506379	-3.7	0.0123834
INTS3	2.72	0.0123925
PELO	3.15	0.0124021
MAPKAPK5-AS1	3.36	0.0124287
LOC105376292	2.27	0.01244
MRC2	2.41	0.0124405
ASPH	2.63	0.0124438
CXCL14	2.31	0.0124699
ARHGEF12	3.01	0.0125094
SH2D4A	-2.22	0.0125361
KLK10	-2.06	0.0125382
KLK5	2.34	0.01254
LOC100652911	-1.99	0.0125428
RGPD4-AS1	3.05	0.0125472
C10ORF71-AS1	2.87	0.0126119
CTU2	2.54	0.012612
